parameter,parameter_default,parameter_perturbed_2_percent,population_2100_std,population_2100_new,std/new,(new-std)/std,ABS((new-std)/std),perturbed_param_csv_path
p_avg_life_agr_inp_2,2.0,2.04,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_agr_inp_2_perturbed.csv
p_avg_life_ind_cap_1,14.0,14.28,3985193933.2464,3804063792.8852,1.0476,-0.04545077188092761,0.04545077188092761,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_ind_cap_1_perturbed.csv
p_avg_life_ind_cap_2,14.0,14.28,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_ind_cap_2_perturbed.csv
p_avg_life_serv_cap_1,20.0,20.4,3985193933.2464,3956590453.4812,1.0072,-0.007177437345417014,0.007177437345417014,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_serv_cap_1_perturbed.csv
p_avg_life_serv_cap_2,20.0,20.4,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_avg_life_serv_cap_2_perturbed.csv
p_fioa_cons_const_1,0.43,0.4386,3985193933.2464,4511279929.5885,0.8834,0.13201013680995477,0.13201013680995477,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fioa_cons_const_1_perturbed.csv
p_fioa_cons_const_2,0.43,0.4386,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fioa_cons_const_2_perturbed.csv
p_fr_cap_al_obt_res_2[1],1.0,1.02,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_1_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[2],0.2,0.20400000000000001,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_2_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[3],0.1,0.10200000000000001,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_3_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[4],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_4_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[5],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_5_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[6],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_6_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[7],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_7_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[8],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_8_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[9],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_9_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[10],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_10_bracket_perturbed.csv
p_fr_cap_al_obt_res_2[11],0.05,0.051000000000000004,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_fr_cap_al_obt_res_2_bracket_11_bracket_perturbed.csv
p_ind_cap_out_ratio_1,3.0,3.06,3985193933.2464,4393386754.9587,0.9071,0.10242734194363769,0.10242734194363769,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ind_cap_out_ratio_1_perturbed.csv
p_land_yield_fact_1,1.0,1.02,3985193933.2464,3946236629.7302,1.0099,-0.009775510092809634,0.009775510092809634,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_land_yield_fact_1_perturbed.csv
p_nr_res_use_fact_1,1.0,1.02,3985193933.2464,3929681755.1719,1.0141,-0.013929605184667671,0.013929605184667671,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_nr_res_use_fact_1_perturbed.csv
p_ppoll_gen_fact_1,1.0,1.02,3985193933.2464,3979305564.4127,1.0015,-0.001477561426714415,0.001477561426714415,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ppoll_gen_fact_1_perturbed.csv
p_ppoll_tech_chg_mlt[1],0.0,0.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ppoll_tech_chg_mlt_bracket_1_bracket_perturbed.csv
p_ppoll_tech_chg_mlt[2],0.0,0.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ppoll_tech_chg_mlt_bracket_2_bracket_perturbed.csv
p_ppoll_tech_chg_mlt[3],0.0,0.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ppoll_tech_chg_mlt_bracket_3_bracket_perturbed.csv
p_ppoll_tech_chg_mlt[4],0.0,0.0,3985193933.2464,3985193933.2464,1.0000,0.0,0.0,/home/adanos/Documents/modelica_scripts/tmp/modelica_outputs/2016-08-25/17_28_47/p_ppoll_tech_chg_mlt_bracket_4_bracket_perturbed.csv
